,MMM,ABT,MO,AEP,ADM,BAX,BDX,BA,BMY,CPB,CAT,CVX,CLX,CMS,KO,CL,COP,ED,CSX,CMI,CVS,DE,DTE,ETN,EIX,EMR,ETR,EXC,XOM,F,GE,GD,GIS,GPC,HAL,HSY,HON,HPQ,IBM,IP,JNJ,KMB,KR,LLY,LMT,MCD,MRK,MSI,NEM,NSC,NOC,OXY,PEP,PFE,PPG,PG,PEG,RTX,SPGI,SLB,SHW,SO,UNP,XEL
COP,0.3368993344562755,0.22947805342633953,0.23463758010696972,0.24768051544446124,0.36116740920226176,0.2381756119583052,0.2176152807642479,0.3412156844629446,0.24867026883611865,0.17959995095284575,0.40537973717978737,0.7083588438864422,0.1327095543300211,0.2263532603823445,0.2670519210222711,0.21210402614079674,1.0,0.22044330926621106,0.36689010628384433,0.35625125487832915,0.24330651384672808,0.36995335083693304,0.3209413717138806,0.3933535541587328,0.24631217138345726,0.4420556373105627,0.2757633465804302,0.2978959398100227,0.6751089459069922,0.2983083522045489,0.37262294507514315,0.3217564364099232,0.18957229049579155,0.31655475151035845,0.602655396411109,0.2266606879935063,0.365731751413698,0.28234592353187016,0.28643657585788884,0.36017901225418497,0.26494900604497873,0.2165305996954035,0.17979484929976497,0.2317168249391684,0.27365672928708634,0.2561509157355565,0.253730362284462,0.2336344420492677,0.20190312845018843,0.37320366707766595,0.2584331618689465,0.6504919173033965,0.23648639172803737,0.2657339786185823,0.3622328065236338,0.23661878410588522,0.3265820853349902,0.3679371747553357,0.3349771112536819,0.6322643643453155,0.2524661491583674,0.26234177470793923,0.3997627328775448,0.22375943845498164
ED,0.305728083759534,0.3264649187222057,0.3249718320508039,0.6721455318391663,0.2810321476159664,0.2702000276410294,0.2685082857907445,0.2318506048651703,0.2700480709259084,0.345503593258415,0.23602262906911511,0.30625109218499724,0.3001407511006136,0.4850310870971064,0.4178721202552516,0.3597109228354612,0.22044330926621106,1.0,0.27569991149362105,0.2211590758154641,0.2426691213788315,0.2217601653765443,0.6412888321125843,0.25180819540486327,0.4752957815742861,0.2946711885474286,0.5476643704329078,0.5786765578512266,0.34591712895018517,0.22872458450449612,0.2829594513508739,0.2837253254255762,0.3674119375723335,0.3234543528191934,0.1795924750539907,0.3731204660481713,0.29972928505449753,0.17848430416918595,0.2532870852519524,0.2726770957669085,0.37096536166183613,0.35910919258399765,0.2317092684648214,0.2911969183311661,0.29117191744119153,0.3076028155398449,0.30873019909060895,0.21908810911514345,0.1256506769280813,0.29503969993832907,0.26519673569452784,0.2182015783036742,0.3590663165660909,0.2948521807841483,0.3104891779392973,0.3917282417490308,0.6281972846058644,0.29969163122283393,0.2784567855612551,0.20514784993124713,0.271344383103847,0.7005883073923054,0.2734655219937608,0.5941094738417584
CSX,0.4500147339152078,0.3078059236897067,0.246513049932665,0.29402798141957,0.3441476407022308,0.2795234708119165,0.2760358949577436,0.3870245138540287,0.2840915906427484,0.22147504473933013,0.4821111162256226,0.40713308544165067,0.2291746974117318,0.2649387385375919,0.3276251142035414,0.282500420471338,0.36689010628384433,0.27569991149362105,1.0,0.4511807684832398,0.27639896797793595,0.4577520557422347,0.33308216626292736,0.493080574277799,0.2717647126569438,0.5077469376024335,0.2817651186790458,0.30849366167966,0.3930226274402346,0.39171997777617457,0.4378451838454161,0.36399250549751155,0.23969766151906785,0.44083475922185716,0.3571161793987188,0.28281163632947004,0.4637885643145409,0.3487215561873401,0.34939639376448756,0.46385821293627766,0.31127548118064996,0.29452852484323433,0.2281059001464145,0.26973466318512646,0.2952000677069083,0.3278008583035648,0.29537974764190555,0.32135967387284153,0.12183810576263202,0.7100204420612806,0.29523501226377896,0.34949590657498536,0.2937318619626106,0.3006175263356604,0.4896697290861267,0.3082716609857331,0.33032842741011204,0.4421700887846419,0.40911999373105296,0.38109978689133817,0.3801983735450035,0.29411521337950436,0.6650159007221745,0.2768215913335055
CMI,0.4349789246642059,0.23676261697301615,0.21551451711543076,0.2724166972349832,0.326859170451684,0.2421703452147686,0.24416679937456792,0.3665435746048429,0.25325284435480366,0.20028916276148,0.569124721904489,0.3796638989684975,0.1897178605615295,0.24612180653206217,0.26070749624374834,0.24463181511743246,0.35625125487832915,0.2211590758154641,0.4511807684832398,1.0,0.2743242326177031,0.5015857568581683,0.2977312069898382,0.5475049362851161,0.25859246401191893,0.5195175188426585,0.24822703025098983,0.2693972720201591,0.3709210029139446,0.40366139425334463,0.4301970952260742,0.35352481247756506,0.18926622380770383,0.4135309632648649,0.36395302239373845,0.21872435643988064,0.4524700588664055,0.34308878884830235,0.3382270309483743,0.4600794651847423,0.25270901868261153,0.24604103905522173,0.18869447565777853,0.24830170297816617,0.26113064705894384,0.2703617152718808,0.261740077745242,0.3257180068050378,0.163754267721074,0.4440987802529615,0.26897276726423225,0.34314311521671875,0.24433153152597842,0.2729684781493786,0.48242419052529,0.2369260666369766,0.30324985696240025,0.44264687456548923,0.37505628770717825,0.39084392667137785,0.3552832444560144,0.21743981067130894,0.44640284231106003,0.2282829282390782
CVS,0.31074057977962993,0.29045306200768667,0.2417857971332005,0.23853023182417568,0.258173869018554,0.2624261645033261,0.27725269019493204,0.2769653749749147,0.29802658910946433,0.2382971476957931,0.2934380116368949,0.2709273226465008,0.2412757158468867,0.20815142458501854,0.31651080105170576,0.2940310014241726,0.24330651384672808,0.2426691213788315,0.27639896797793595,0.2743242326177031,1.0,0.27979053032092854,0.24851762076534983,0.2861061947864034,0.20821168328591205,0.32774230624250184,0.21348748223863623,0.2366459086474419,0.2777247920704894,0.2514918582815232,0.3184738483848249,0.2697792847986,0.25611112583474355,0.30790575408189746,0.2370127370346553,0.26243961646887637,0.29349313155494927,0.23293280952307754,0.2567572867467512,0.294783368256858,0.31857590908472544,0.2910805608636453,0.25870128369030626,0.2810248657242536,0.23804749090399455,0.2837280166173077,0.30774001554076014,0.20767702638616237,0.07863656069978622,0.2968041963766602,0.2369809862895467,0.22736789493908371,0.3174711856556688,0.3067752647348092,0.3238978428241345,0.29406873962939606,0.24759618998214228,0.3254863409935529,0.28747259337748526,0.2445651033786457,0.2720632386616887,0.23125705322551113,0.30334089443275136,0.2234328646558258
DE,0.4266558153780272,0.2552552730710943,0.25168415334244015,0.25091117749828046,0.35815313831617956,0.2442896683401709,0.2380234321939476,0.3894605744406586,0.2727223063990527,0.20814428416638525,0.6152588887685518,0.39444275082841157,0.20797591758890685,0.23804566286644785,0.29535750833650937,0.2743026292703858,0.36995335083693304,0.2217601653765443,0.4577520557422347,0.5015857568581683,0.27979053032092854,1.0,0.29379471616496217,0.48472387279957035,0.23821803738132485,0.49582910775724964,0.23351693344500946,0.28562249154473013,0.3866184523810767,0.37266123902963827,0.4264291189615956,0.3396226642519488,0.2172758387271391,0.4089871148915419,0.36413006287109645,0.2608378815429129,0.43103703036463087,0.32678232565383963,0.31978882901958056,0.4583280638818869,0.2675342607868788,0.2847222284815107,0.19955485117487662,0.24226560020377136,0.2679905856189702,0.29050721368435706,0.2738613808646878,0.2879121056750648,0.15519444081120726,0.4389366104980432,0.2831655128425917,0.3713710557067035,0.27131773199942577,0.27640134174734676,0.4790902267148872,0.27938326195343477,0.291106586968078,0.444590062522057,0.3671482309181835,0.39331540767122264,0.3546926746013243,0.23705094481436068,0.44857150382772476,0.22096400808117858
DTE,0.332501675523585,0.3038619218748307,0.3113837395015706,0.6379920606965644,0.31363395419441986,0.25586854176905255,0.26882643684296503,0.3102309862974805,0.2933596039223977,0.3011762710627084,0.29353487316264254,0.3808533181685387,0.26003763244765055,0.48111772434260097,0.3907068458186039,0.3387502103697225,0.3209413717138806,0.6412888321125843,0.33308216626292736,0.2977312069898382,0.24851762076534983,0.29379471616496217,1.0,0.3230315644715319,0.48843191603068387,0.37651085456618577,0.57132310241044,0.5906319086700732,0.39403917536053085,0.27355239245611995,0.33815447761558715,0.3121231064361063,0.3217061879100128,0.36505054663295516,0.28389193115650224,0.35358951827331975,0.3402153169065738,0.23406658560306604,0.27891460716508926,0.32036138431669825,0.35204051704808453,0.3224979460498365,0.2039267888856727,0.27119994739953307,0.28213340302491274,0.32807419416629413,0.31170323929721905,0.25335179457749374,0.14497890719702627,0.34132163768168033,0.2801321540754443,0.3200362935632502,0.35488092692100703,0.30687933505165427,0.36534537306088744,0.3481549974238181,0.6420187985887036,0.3609756006621104,0.3449829281406026,0.3026695142747577,0.30094667104138695,0.63198670405902,0.334480428288312,0.5546509711785422
ETN,0.49376275533888897,0.2913386569828936,0.24623917586391514,0.2794845820032387,0.35324579918466803,0.2836527620119336,0.27823519913643185,0.41519479041182117,0.2706955158167814,0.21565963391958703,0.5703970436644535,0.42513095212782487,0.2239570590700899,0.2675445189093095,0.3129704444221562,0.28424649075395314,0.3933535541587328,0.25180819540486327,0.493080574277799,0.5475049362851161,0.2861061947864034,0.48472387279957035,0.3230315644715319,1.0,0.26691980798616,0.5806857390922723,0.27567286304288996,0.29015652929080976,0.4180705624349032,0.4308673552329755,0.49825189321441,0.3878948139534498,0.21290608046397846,0.45932241854813033,0.3925558279708215,0.2661497245515752,0.496866633838314,0.3747579378899795,0.37790694600151903,0.4712542741846335,0.29057889436178974,0.29326835299683596,0.21187429604271407,0.2933505090930369,0.3058634428054201,0.32957740342379555,0.2898152648866611,0.3517841833180151,0.169358357715538,0.4793080439923597,0.2945660701773189,0.3795581197770848,0.27813926014601326,0.3002251871159843,0.5273894146208462,0.3098639874404193,0.34078627121399957,0.48413616099860507,0.41257718963448203,0.4234216531896844,0.40377182232547937,0.2582306866434431,0.4878248670155668,0.263931335531207
EIX,0.29872537587430537,0.2441023886110859,0.2512768058591039,0.49137267492114955,0.2613757938066957,0.22260409590124539,0.19752181194842322,0.2764814123895782,0.24136040923480281,0.23554496551442194,0.2639739945332523,0.29872634064989373,0.216630952862066,0.36340847613338795,0.29057347374352543,0.2723223763052565,0.24631217138345726,0.4752957815742861,0.2717647126569438,0.25859246401191893,0.20821168328591205,0.23821803738132485,0.48843191603068387,0.26691980798616,1.0,0.32604152524539853,0.44835677590744893,0.4730292108385594,0.31669064357212423,0.227475018566,0.2944544060249017,0.26006937901798444,0.24346680702534734,0.28707892252214456,0.23212164539400326,0.2737836049977212,0.2835848167576265,0.20682023551336184,0.2269005958441041,0.2769303692244211,0.2641237059359307,0.25678975414947164,0.1769894099706514,0.21581578209854393,0.22094736431096973,0.25961059607162573,0.25899751212507516,0.23609054517032216,0.1048694764294395,0.2678672135413072,0.21598751298789984,0.2457206826781726,0.2757203916560197,0.2444301637129705,0.29695348619201317,0.2838647247978956,0.5190478758343816,0.3127911781060971,0.2658089180786412,0.24942445393160123,0.2397040486620114,0.48475738282906794,0.26752233700376343,0.4431154542144853
EMR,0.5469047919605241,0.34313468693485344,0.30333246678463016,0.3210537306798663,0.3988254833956197,0.33095654269218466,0.31161427547157766,0.46158570526436365,0.34475297001023475,0.27193185419817123,0.5695997332681632,0.4846041433367452,0.25913696504668665,0.29086977921640805,0.37866066309348745,0.33825439787884637,0.4420556373105627,0.2946711885474286,0.5077469376024335,0.5195175188426585,0.32774230624250184,0.49582910775724964,0.37651085456618577,0.5806857390922723,0.32604152524539853,1.0,0.3113096370234091,0.3389917448192371,0.48772851957763536,0.43090979176714356,0.5476901726163343,0.4092918930472421,0.27395113967206103,0.494043271573132,0.4399713198109605,0.3225416425584157,0.531650589313452,0.41791742545210564,0.42897969747556713,0.49363176556577737,0.3606493521385986,0.3187864314847797,0.23280608148151619,0.3339374718492451,0.3264778806227274,0.3784512000862217,0.34419476311360925,0.360082763917533,0.1357730087286825,0.5063643091909423,0.31895248186579345,0.43545808539046515,0.3369135756588422,0.3654629932269456,0.5516916843147566,0.3478470491370754,0.3933054054374076,0.5254856234442035,0.44545409064451075,0.48166593030453886,0.40953664052114197,0.31578707044258464,0.5082674854448879,0.3024396430242824
ETR,0.2876716677994094,0.26963656217620907,0.2735514102212796,0.5824831827871652,0.27429701608858115,0.23003357905187424,0.22129796824456982,0.2578624185045577,0.2562305527636219,0.2510959434620923,0.24474372800113398,0.32764884323220783,0.22396102272337567,0.42129619304430627,0.33419093623399404,0.29341256328048043,0.2757633465804302,0.5476643704329078,0.2817651186790458,0.24822703025098983,0.21348748223863623,0.23351693344500946,0.57132310241044,0.27567286304288996,0.44835677590744893,0.3113096370234091,1.0,0.5423694693202105,0.34176930224543023,0.22417587507241363,0.26811803628596875,0.27825821978302884,0.2699730664506202,0.2855314818686004,0.24658730434523404,0.2944011621267864,0.28348442173523675,0.1838108543304254,0.24596583537825262,0.2744900147725637,0.29892572834212916,0.27673950902220035,0.1964323194952516,0.23745047350336052,0.24232083432305682,0.2934231607630929,0.2731161940941766,0.21201947627311463,0.13963290372607387,0.2975164340142043,0.2403983375752273,0.2683931691684761,0.2959692014990105,0.26192318885480415,0.2872973153947302,0.30500714579025573,0.5857332688356715,0.30159982123391826,0.2812369060231759,0.2519438404430977,0.2580341199810645,0.5648403874279911,0.29381427130526344,0.5077628044531757
EXC,0.3065689433173466,0.2934021957509414,0.27934609167397756,0.596073270725513,0.3119644702654854,0.23723612064310357,0.24242852864465786,0.2784899975857959,0.26076412132835525,0.27483719201793155,0.2729308927239116,0.3522771938395236,0.23454223784912936,0.4366500359107156,0.3646584009415953,0.320647225468506,0.2978959398100227,0.5786765578512266,0.30849366167966,0.2693972720201591,0.2366459086474419,0.28562249154473013,0.5906319086700732,0.29015652929080976,0.4730292108385594,0.3389917448192371,0.5423694693202105,1.0,0.3774767516683791,0.23509975835677413,0.30790817139661586,0.28691871000579217,0.29469967766599603,0.31030461674827836,0.2607214866627092,0.3178168134523429,0.30319984498109304,0.21545518073066258,0.2667878416964219,0.29328679092366167,0.3167237162205762,0.28705832007180554,0.20978792397762108,0.25452777619072187,0.2618999706612441,0.3091775389564632,0.298386905021783,0.23005432912187285,0.15195064669415412,0.32091761662684276,0.2529404895346819,0.2940716927448716,0.33281076663107223,0.27376466001137645,0.3316070985084329,0.3410849009121351,0.6398058020325951,0.31867104857121115,0.3108986556231833,0.27959302705130984,0.270138008833911,0.5911038261645177,0.3153836960104657,0.5041005637635843
XOM,0.4343671983834701,0.3098234902011602,0.3150291586827866,0.35210231737825076,0.40309639860098834,0.30849524039920007,0.2712982895246641,0.3831366880808199,0.3117395795755972,0.25943750308812,0.42560728447850565,0.7760046615681587,0.202594006079938,0.29379818288472787,0.40769555284490444,0.3066977125162634,0.6751089459069922,0.34591712895018517,0.3930226274402346,0.3709210029139446,0.2777247920704894,0.3866184523810767,0.39403917536053085,0.4180705624349032,0.31669064357212423,0.48772851957763536,0.34176930224543023,0.3774767516683791,1.0,0.32712491693489515,0.437813471025681,0.37151390737758966,0.2633659318848938,0.3914875281804531,0.5859326222438168,0.33291557731550425,0.43154211495787437,0.318739249491303,0.35658324823065624,0.39785944164721493,0.37969310094534575,0.29799496492858346,0.23414884365635869,0.2971038407133492,0.3218673358806936,0.3271994813850319,0.33446000564133554,0.26367562883629914,0.20221219409650315,0.41071901211209483,0.30082629280276096,0.6404546687881045,0.32988244211908085,0.3477342370227649,0.4238385196910534,0.34370501575807666,0.4172516817254721,0.4301349405373684,0.36769168192811813,0.6434152626986356,0.30476718972628164,0.38573040297083955,0.424580855995168,0.3084006915560061
